id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
1879,睦,,目,13,S,2010.0,,friendship
1880,僕,,人,14,S,1981.0,,me
1881,墨,墨,土,14,S,,,sumi
1882,撲,,手,15,S,,,bludgeon
1883,没,沒,水,7,S,,,"rejection (of a manuscript, etc.)"
1884,勃,,力,9,S,2010.0,,erection (usu. penis)
1885,堀,,土,11,S,1981.0,,canal
1886,本,,木,5,1,,,(somebody's) side
1887,奔,,大,8,S,,,gusto
1888,翻,飜,飛,18,S,,,waste-water container (tea ceremony)
1889,凡,,几,3,S,,,roughly
1890,盆,,皿,9,S,,,O-Bon
1891,麻,,麻,11,S,,,hemp (fiber)
1892,摩,,手,15,S,,,"ma (one of the trigrams of the I Ching: swamp, west)"
1893,磨,,石,16,S,1981.0,,lapping (e.g. in the sun)
1894,魔,,鬼,21,S,,,demon
1895,毎,每,毋,6,2,,,each
1896,妹,,女,8,2,,,my betrothed
1897,枚,,木,8,6,,,bill
1898,昧,,日,9,S,2010.0,,ambiguous
1899,埋,,土,10,S,,,filling
1900,幕,,巾,13,6,,,curtain
1901,膜,,肉,14,S,,,membrane
1902,枕,,木,8,S,2010.0,,pillow
1903,又,,又,2,S,,,and
1904,末,,木,5,4,,,close (e.g. close of the month)
1905,抹,,手,8,S,1981.0,,eraser
1906,万,萬,艸,3,2,,,ten thousand
1907,満,滿,水,12,4,,,"full (years, etc.)"
1908,慢,,心,14,S,,,pride
1909,漫,,水,14,S,,,manzai (comic dialogue) accompanied by music
1910,未,,木,5,4,,,un-
1911,味,,口,8,3,,,flavor
1912,魅,,鬼,15,S,,,fascination
1913,岬,,山,8,S,1981.0,,cape (on coast)
1914,密,,宀,11,6,,,density
1915,蜜,,虫,14,S,2010.0,,nectar
1916,脈,,肉,10,4,,,pulse
1917,妙,,女,7,S,,,strange
1918,民,,氏,5,4,,,people
1919,眠,,目,10,S,,,sleep
1920,矛,,矛,5,S,,,arms
1921,務,,力,11,5,,,duty
1922,無,,火,12,4,,,nil
1923,夢,,夕,13,5,,,dream
1924,霧,,雨,19,S,,,fog
1925,娘,,女,10,S,,,(after a line of work) -ess
1926,名,,口,6,1,,,name
1927,命,,口,8,3,,,paired tattoos on the upper arms of a man and woman (indicating unwavering love)
1928,明,,日,8,2,,,"Ming (dynasty of China, 1368-1644)"
1929,迷,,辵,9,5,,,"stray (e.g. dog, cat)"
1930,冥,,冖,10,S,2010.0,,dark
1931,盟,,皿,13,6,,,pledge
1932,銘,,金,14,S,,,inscription
1933,鳴,,鳥,14,2,,,roar
1934,滅,,水,13,S,,,perish
1935,免,免,儿,8,S,,,dismissal
1936,面,,面,9,3,,,mask (esp. a noh or kyogen mask)
1937,綿,,糸,14,5,,,cotton
1938,麺,麵,麥,16,S,2010.0,,noodles
1939,茂,,艸,8,S,,,(after the -masu stem of a verb) indicates contempt or disdain for another's actions
1940,模,,木,14,6,,,wooden printing block
1941,毛,,毛,4,2,,,0.03 mm (one-thousandth of a sun)
1942,妄,,女,6,S,1981.0,,"deluded mind (a mind polluted with klesha, incapable of understanding the original essence of things)"
1943,盲,,目,8,S,,,blindness
1944,耗,,耒,10,S,,,wear
1945,猛,,犬,11,S,,,ferocious
1946,網,,糸,14,S,,,net
1947,目,,目,5,1,,,eye
1948,黙,默,黑,15,S,,,silence
1949,門,,門,8,2,,,gate
1950,紋,,糸,10,S,,,coat of arms
1951,問,,口,11,3,,,question
1952,冶,,冫,7,S,2010.0,,melting
1953,夜,,夕,8,2,,,evening
1954,野,,里,11,2,,,wild
1955,弥,彌,弓,8,S,2010.0,,increasingly
1956,厄,,厂,4,S,1981.0,,misfortune
1957,役,,彳,7,3,,,service
1958,約,,糸,9,4,,,about
1959,訳,譯,言,11,6,,,translation
1960,薬,藥,艸,16,3,,,drug
1961,躍,,足,21,S,,,leaping
1962,闇,,門,17,S,2010.0,,the dark
1963,由,,田,5,3,,,reason
1964,油,,水,8,3,,,oil
1965,喩,,口,12,S,2010.0,,metaphor
1966,愉,,心,12,S,,,enjoyment
1967,諭,,言,16,S,,,admonition
1968,輸,,車,16,5,,,transportation
1969,癒,,疒,18,S,1981.0,,healing
1970,唯,,口,11,S,,,free of charge
1971,友,,又,4,2,,,comrade
1972,有,,月,6,3,,,having
1973,勇,,力,9,4,,,courage
1974,幽,,幺,9,S,,,spirit (of the dead)
1975,悠,,心,11,S,1981.0,,"Yu (dynasty of China, 221-263 CE)"
1976,郵,,邑,11,6,,,mail (post)
1977,湧,,水,12,S,2010.0,,welling (up)
1978,猶,,犬,12,S,,,further
1979,裕,,衣,12,S,,,"yu (ancient Chinese measure of height, depth, etc.; between 1-3 meters)"
1980,遊,,辵,12,3,,,play
1981,雄,,隹,12,S,,,male
1982,誘,,言,14,S,,,invitation
1983,憂,,心,15,S,,,melancholy
1984,融,,虫,16,S,,,fusion
1985,優,,人,17,6,,,superior
1986,与,與,臼,3,S,,,together with ...
1987,予,豫,豕,4,3,,,over
1988,余,餘,食,7,5,,,more than
1989,誉,譽,言,13,S,,,honor
1990,預,,頁,13,5,,,keeping
1991,幼,,幺,5,6,,,young
1992,用,,用,5,2,,,use
1993,羊,,羊,6,3,,,sheep (Ovis aries)
1994,妖,,女,7,S,2010.0,,bewitch
1995,洋,,水,9,3,,,Western
1996,要,,襾,9,4,,,cornerstone
1997,容,,宀,10,5,,,figure
1998,庸,,广,11,S,,,tax paid to avoid forced labor (ritsuryo period)
1999,揚,,手,12,S,,,fried bean curd
2000,揺,搖,手,12,S,,,jolting
2001,葉,,艸,12,3,,,"counter for leaves, pieces of paper, etc."
2002,陽,,阜,12,3,,,sunlight
2003,溶,,水,13,S,,,solution (e.g. chemical)
2004,腰,,肉,13,S,,,back
2005,様,樣,木,14,3,,,way of ...
2006,瘍,,疒,14,S,2010.0,,tumor
2007,踊,,足,14,S,,,dance
2008,窯,,穴,15,S,,,kiln
2009,養,,食,15,4,,,nurture
2010,擁,,手,16,S,,,have
2011,謡,謠,言,16,S,,,noh chanting
2012,曜,,日,18,2,,,day (e.g. of the week)
2013,抑,,手,7,S,,,originally
2014,沃,,水,7,S,2010.0,,iodine
2015,浴,,水,10,4,,,bath
2016,欲,,欠,11,6,,,greed
2017,翌,,羽,11,6,,,next
2018,翼,,羽,17,S,,,wing
2019,拉,,手,8,S,2010.0,,Latin (language)
2020,裸,,衣,13,S,,,naked
2021,羅,,网,19,S,1981.0,,lightweight fabric or clothing
2022,来,來,人,7,2,,,"next (year, etc.)"
2023,雷,,雨,13,S,,,lightning
2024,頼,賴,貝,16,S,,,dependence
2025,絡,,糸,12,S,,,connection
2026,落,,艸,12,3,,,the end
2027,酪,,酉,13,S,,,dairy (esp. butter)
2028,辣,,辛,14,S,2010.0,,sharp
2029,乱,亂,乙,7,6,,,war
2030,卵,,卩,7,6,,,egg
2031,覧,覽,見,17,6,,,(after the -te form of a verb) (please) try to
2032,濫,,水,18,S,,,overflowing
2033,藍,,艸,18,S,2010.0,,indigo (dye)
2034,欄,欄,木,20,S,,,"field (in a form, web page, etc.)"
2035,吏,,口,6,S,,,an official
2036,利,,刀,7,4,,,interest
2037,里,,里,7,2,,,village
2038,理,,玉,11,2,,,(in neo-Confucianism) the underlying principles of the cosmos
2039,痢,,疒,12,S,,,diarrhea
2040,裏,,衣,13,6,,,behind the scenes
2041,履,,尸,15,S,,,footwear
2042,璃,,玉,15,S,2010.0,,lapis lazuli (color)
2043,離,,隹,19,S,,,"li (one of the trigrams of the I Ching: fire, south)"
2044,陸,,阜,11,4,,,land
2045,立,,立,5,1,,,being burnt out
2046,律,,彳,9,6,,,(in traditional Eastern music) step (corresponding to a Western semitone)
2047,慄,,心,13,S,2010.0,,shiver
2048,略,,田,11,5,,,abbreviation
2049,柳,,木,9,S,,,weeping willow (Salix babylonica)
2050,流,,水,10,3,,,method of
2051,留,,田,10,5,,,remaining (e.g. poste-restante)
2052,竜,龍,龍,10,S,1981.0,,promoted rook (shogi)
2053,粒,,米,11,S,,,"counter for small round objects including grains, seeds, pills, drops"
2054,隆,隆,阜,11,S,,,ridge (e.g. of a mountain)
2055,硫,,石,12,S,,,sulfur (S)
2056,侶,,人,9,S,2010.0,,retinue
2057,旅,,方,10,3,,,trip
2058,虜,虜,虍,13,S,,,prisoner
2059,慮,,心,15,S,,,forethought
2060,了,,亅,2,S,,,finish
2061,両,兩,入,6,3,,,both
2062,良,,艮,7,4,,,good
2063,料,,斗,10,4,,,fee
2064,涼,,水,11,S,,,cool breeze
2065,猟,獵,犬,11,S,,,hunting
2066,陵,,阜,11,S,,,Emperor's tomb
2067,量,,里,12,4,,,amount
2068,僚,,人,14,S,,,bureaucrat
2069,領,,頁,14,5,,,neck
2070,寮,,宀,15,S,,,bureau (government department beneath a ministry under the ritsuryo system)
2071,療,,疒,17,S,,,medical treatment
2072,瞭,,目,17,S,2010.0,,I hear that ...
2073,糧,,米,18,S,,,provisions
2074,力,,力,2,1,,,power
2075,緑,綠,糸,14,3,,,green
2076,林,,木,8,1,,,forest
2077,厘,,厂,9,S,,,0.0375 grams (one-hundredth of a monme)
2078,倫,,人,10,S,,,ethics
2079,輪,,車,15,4,,,circle
2080,隣,,阜,16,S,,,neighbor (neighbour)
2081,臨,,臣,18,6,,,counter for copies of a newspaper or magazine
2082,瑠,,玉,14,S,2010.0,,rung (of a ladder)
2083,涙,淚,水,10,S,,,tear
2084,累,,糸,11,S,,,implication
2085,塁,壘,土,12,S,,,base (baseball)
2086,類,類,頁,18,4,,,kind
2087,令,,人,5,4,,,order
2088,礼,禮,示,5,3,,,thanking
2089,冷,,冫,7,4,,,cold
2090,励,勵,力,7,S,,,encouragement
2091,戻,戾,戶,7,S,1981.0,,giving back
2092,例,,人,8,4,,,Example
2093,鈴,,金,13,S,,,bell (often globular)
2094,零,,雨,13,S,,,zero
2095,霊,靈,雨,15,S,,,spirit
2096,隷,,隶,16,S,,,slaves
2097,齢,齡,齒,17,S,,,(one's) age
2098,麗,,鹿,19,S,,,beautiful
2099,暦,曆,日,14,S,,,calendar
2100,歴,歷,止,14,4,,,history
2101,列,,刀,6,3,,,string
2102,劣,,力,6,S,,,inferior
2103,烈,,火,10,S,,,fierceness
2104,裂,,衣,12,S,,,cleavage
2105,恋,戀,心,10,S,,,love
2106,連,,辵,10,4,,,quiniela
2107,廉,,广,13,S,,,cheap
2108,練,練,糸,14,3,,,practice
2109,錬,鍊,金,16,S,,,well
2110,呂,,口,7,S,2010.0,,six even-numbered notes of the ancient chromatic scale
2111,炉,爐,火,8,S,,,furnace
2112,賂,,貝,13,S,2010.0,,bribe
2113,路,,足,13,3,,,"the way (of proper conduct, etc.)"
2114,露,,雨,21,S,,,exposed
2115,老,,老,6,4,,,the old
2116,労,勞,力,7,4,,,labor
2117,弄,,廾,7,S,2010.0,,toying with
2118,郎,郞,邑,9,S,,,"follow (i.e. a set of rules, regulations, etc.)"
2119,朗,朗,月,10,6,,,clearness
2120,浪,,水,10,S,,,wave
2121,廊,廊,广,12,S,,,corridor
2122,楼,樓,木,13,S,,,tower
2123,漏,,水,14,S,,,leakage (e.g. of rain)
2124,籠,,竹,22,S,2010.0,,"basket (shopping, etc.)"
2125,六,,八,4,1,,,six
2126,録,錄,金,16,4,,,record
2127,麓,,鹿,19,S,2010.0,,base
2128,論,,言,15,6,,,discussion
2129,和,,口,8,3,,,sum
2130,話,,言,13,2,,,talk
2131,賄,,貝,13,S,,,bribe
2132,脇,,肉,10,S,2010.0,,the side
2133,惑,,心,12,S,,,bewilderment
2134,枠,,木,8,S,1981.0,,box
2135,湾,灣,水,12,S,,,gulf
2136,腕,,肉,12,S,,,arm
